Insulation,Temperature,Num_Occupants,Avg_Age,Home_Size,Prediction
5,69,10,70.1,7,281.83
5,80,1,66.7,1,228.4
4,89,9,67.8,7,262.02
7,81,9,52.4,6,233.25
4,58,8,22.9,7,137.5
4,58,6,37.4,3,155.21
6,51,2,51.6,3,204.76
2,73,5,37.4,4,150.63
9,39,1,56.9,7,257.85
8,84,5,64.5,2,247.98
10,74,6,58.3,1,240.45
5,49,6,68.6,6,272.2
8,45,2,33.9,8,188.75
3,49,4,49.7,4,189.34
9,66,6,66.2,5,278.7
9,57,10,70.1,7,308.03
9,66,10,32.9,6,194.47
4,47,3,55.2,6,220.42
5,53,1,19.8,7,125.19
5,77,3,66.9,5,250.55
3,66,6,64.1,3,228.72
6,87,7,36.1,6,182.03
10,47,1,71.3,4,293.67
10,76,3,59.5,7,267.5
3,60,4,68.2,4,244.65
4,86,7,29.9,1,145.87
8,69,9,62.2,1,246.09
3,67,5,24.8,3,123.02
3,78,6,67.3,7,253.25
4,43,3,46.0,8,201.41
7,39,10,29.4,7,177.13
4,66,7,40.7,8,189.07
5,61,4,32.2,3,144.44
3,58,2,62.1,4,223.06
7,67,6,39.5,4,184.51
9,87,10,54.5,1,229.53
10,47,8,31.2,1,169.92
10,84,4,36.5,3,188.12
2,61,9,34.1,7,156.78
5,73,3,57.8,2,209.62
7,71,1,61.0,5,242.23
2,69,1,32.4,7,142.88
5,85,1,41.7,1,167.02
3,72,8,18.9,6,127.13
8,87,2,56.8,4,231.85
6,69,4,33.2,1,147.2
3,73,3,48.2,3,174.66
6,72,4,35.5,4,164.33
3,70,6,37.9,4,155.98
9,53,5,40.3,5,202.7
8,74,5,35.6,4,178.7
5,76,4,68.8,4,253.8
8,88,6,26.8,6,172.12
3,65,9,17.2,8,125.43
10,88,1,69.8,6,287.78
2,58,3,42.5,7,170.82
8,59,6,60.0,4,250.83
4,77,9,18.8,5,133.18
9,83,9,58.3,6,261.93
4,50,7,29.8,4,140.77
10,49,10,48.9,6,244.61
9,54,4,19.0,7,152.69
4,89,9,42.9,2,178.52
8,48,1,66.6,5,271.77
3,39,6,62.8,4,236.19
8,41,3,64.7,8,283.27
2,60,9,19.8,1,102.6
6,63,9,65.3,3,254.85
8,56,4,69.4,5,282.81
4,57,2,53.6,1,188.99
6,70,4,40.7,3,173.8
2,52,10,20.9,6,117.82
3,38,2,55.4,5,211.69
5,64,9,17.8,1,114.25
10,87,2,52.1,2,222.32
3,55,6,34.8,2,137.49
5,38,3,62.9,5,248.0
7,86,6,44.9,5,203.72
5,47,6,52.3,8,230.29
3,70,3,72.2,4,253.1
4,47,4,22.0,8,133.99
8,49,8,46.1,3,208.15
9,88,10,37.8,7,212.29
2,68,10,65.3,8,254.59
6,38,5,27.9,2,136.04
2,81,3,17.1,3,117.28
7,50,8,51.2,4,222.65
8,85,6,49.5,7,231.96
8,76,1,30.1,7,172.19
3,72,7,47.9,5,188.29
6,65,3,53.6,6,222.09
7,61,1,54.6,2,211.4
8,48,8,53.5,6,245.07
2,53,4,27.4,8,135.97
4,87,8,26.7,3,147.35
3,82,6,52.0,4,194.49
6,67,1,25.7,6,144.09
9,71,8,47.5,5,226.51
8,74,9,30.2,3,165.49
10,42,9,33.2,7,204.77
8,63,1,68.9,3,266.11
8,50,6,51.5,1,213.12
6,78,4,66.9,6,261.96
7,58,6,58.2,3,235.23
5,53,7,51.6,3,205.7
6,78,5,23.3,8,155.22
9,88,8,63.8,3,261.28
4,45,8,72.6,8,291.36
2,63,3,29.0,7,134.63
10,61,6,53.8,5,247.13
10,79,9,54.5,5,253.26
5,43,9,59.0,7,252.16
5,70,8,39.8,3,170.89
4,88,1,35.9,2,156.03
6,85,7,25.9,5,157.36
9,74,4,61.4,3,249.65
7,78,5,72.8,3,274.41
5,58,4,57.6,1,210.0
7,52,1,57.0,7,243.6
3,55,10,40.4,1,154.51
9,67,9,39.9,6,212.03
2,45,1,17.5,1,80.32
4,61,1,32.2,2,131.45
5,73,8,58.3,3,222.91
5,70,3,70.2,6,267.26
3,59,3,68.3,3,239.32
2,80,2,38.2,6,159.56
10,42,4,30.3,6,185.16
9,61,1,20.8,4,139.42
6,76,10,60.7,2,233.87
8,82,8,72.6,3,282.83
7,51,1,72.4,1,265.44
5,89,2,65.1,7,249.49
9,70,3,67.4,1,259.29
3,55,7,20.8,7,124.02
3,48,8,70.1,6,268.88
2,39,6,53.1,7,213.26
8,85,3,63.5,3,246.85
5,54,4,55.1,3,212.11
10,69,4,61.1,5,264.68
2,52,3,44.2,4,163.99
5,54,3,70.5,2,254.62
9,70,8,27.8,7,182.34
3,42,4,66.0,1,229.17
8,71,5,22.6,2,140.22
5,53,5,44.4,2,175.67
4,59,7,29.9,2,132.42
8,61,5,63.4,4,259.57
6,82,2,71.7,3,259.74
2,51,10,70.6,2,249.84
9,56,4,27.4,4,161.43
5,69,6,68.7,8,276.07
8,53,3,67.9,1,259.65
10,44,10,32.9,1,177.5
10,73,1,23.7,3,152.74
8,56,5,27.7,4,157.38
5,60,8,61.7,6,250.43
10,62,5,47.4,8,242.35
10,74,10,18.9,2,148.97
10,75,1,30.8,8,191.23
3,63,4,43.0,7,179.94
7,41,3,30.8,2,147.3
4,67,1,67.1,7,254.07
2,81,3,16.0,7,125.57
4,58,6,49.7,6,204.5
2,41,2,51.9,5,194.17
10,78,4,25.4,5,168.57
10,86,4,48.2,2,214.65
8,56,9,33.6,7,193.38
3,79,10,41.7,1,163.68
4,72,7,29.5,1,136.01
4,73,7,55.0,2,201.01
9,73,2,25.9,3,153.24
4,85,4,69.6,5,252.58
5,65,1,71.6,3,256.75
9,53,7,55.3,7,258.16
7,85,9,58.2,8,258.39
5,62,8,60.8,6,247.06
9,87,6,24.6,6,171.65
10,73,1,48.8,3,216.71
10,77,5,57.6,6,260.55
10,44,5,26.2,2,156.66
10,62,8,24.3,4,165.12
6,40,10,35.7,7,188.05
5,74,10,71.2,6,279.52
10,82,8,32.4,3,182.75
2,68,10,32.9,8,159.79
7,41,3,65.2,2,252.78
6,40,2,59.2,6,244.92
3,90,4,52.3,4,194.48
3,62,9,52.0,5,204.86
3,65,9,50.0,7,206.6
9,40,6,63.9,5,277.47
5,43,1,60.9,6,242.25
8,88,7,17.7,2,147.57
6,83,3,70.5,4,261.6
3,73,5,57.5,6,217.83
7,80,8,64.0,2,246.06
5,81,8,63.5,8,259.37
10,67,4,34.4,8,205.48
3,40,1,35.3,3,137.6
2,56,4,64.5,4,228.5
6,57,1,30.1,7,159.49
9,73,9,22.6,6,164.94
7,63,6,60.9,6,255.73
5,47,6,40.6,5,180.08
3,82,3,58.5,4,207.43
2,73,7,59.7,7,226.4
4,90,5,50.8,2,190.95
7,80,2,22.0,4,144.25
6,77,10,35.7,8,192.41
5,49,1,59.3,3,222.3
2,74,2,40.5,4,154.46
8,86,5,71.8,5,283.79
4,48,8,31.5,7,160.98
3,86,6,51.1,3,188.9
3,77,1,47.9,7,188.72
10,74,8,72.9,3,297.43
4,41,10,18.6,1,100.69
5,64,7,35.6,6,172.14
6,41,1,56.0,4,224.28
6,59,9,33.8,2,157.75
8,59,7,51.0,3,219.47
3,56,3,24.3,8,132.38
6,90,1,56.2,7,230.17
2,89,1,32.0,1,138.26
7,87,7,58.6,7,251.83
9,68,8,43.5,2,201.56
9,79,3,53.4,3,225.76
2,69,6,24.6,1,114.91
4,65,7,44.5,4,180.62
2,50,3,60.4,2,206.81
6,41,6,21.1,8,147.18
3,89,10,72.7,8,277.76
5,70,1,28.7,2,134.42
9,64,3,26.5,8,176.24
4,76,2,20.5,1,118.82
8,42,7,41.6,2,189.96
2,49,1,63.5,3,218.06
2,78,9,63.2,2,219.1
4,88,9,57.1,1,206.32
9,48,8,42.5,5,213.12
10,50,1,20.9,4,145.74
6,75,9,71.5,5,280.06
10,40,2,45.0,3,209.93
5,55,1,31.7,4,143.44
4,65,6,27.5,8,151.71
6,84,5,31.8,3,160.67
7,76,9,17.9,2,134.91
6,75,8,68.3,8,281.86
9,48,9,65.9,4,282.13
8,87,3,61.3,5,250.25
2,70,4,24.6,7,130.92
4,72,7,41.0,1,159.41
2,49,8,17.4,1,89.63
2,66,9,47.8,6,189.52
9,43,4,60.7,1,246.8
2,55,4,61.4,4,218.94
6,55,8,55.8,3,225.6
7,84,6,18.5,2,140.46
4,81,5,57.2,8,230.88
8,38,10,54.0,8,260.1
6,82,10,25.2,4,154.07
7,78,7,31.6,5,169.75
10,48,5,68.9,5,296.03
3,73,10,19.8,7,134.02
9,90,8,72.5,7,303.9
9,46,2,61.2,6,266.92
4,65,5,62.2,1,218.29
6,46,6,70.0,7,287.41
10,88,5,17.7,4,159.45
10,52,9,31.3,7,199.81
10,51,9,17.3,8,166.23
6,74,9,57.9,5,237.47
10,58,10,16.4,5,151.25
3,54,7,37.1,3,149.57
2,49,9,38.3,8,172.97
7,74,6,68.7,2,259.58
2,79,3,56.2,4,195.82
9,88,7,64.9,6,276.91
8,56,10,41.4,3,197.26
8,39,1,17.1,2,113.46
4,60,5,70.8,8,277.86
3,45,1,43.3,4,165.9
8,46,7,58.9,8,269.81
2,44,2,62.4,5,226.31
4,79,3,24.3,3,132.91
10,68,5,34.9,4,189.5
8,49,6,70.9,8,305.33
6,89,10,18.3,1,141.53
8,57,1,70.5,4,277.21
9,75,3,42.8,2,192.27
6,55,6,19.0,7,136.64
2,90,1,35.8,8,166.03
2,67,4,38.3,3,144.66
8,51,8,56.9,7,259.43
10,69,6,57.4,4,252.15
5,46,1,40.7,8,186.79
7,57,10,47.0,1,197.1
2,38,3,35.4,2,131.13
2,50,5,42.4,3,157.32
4,71,1,60.0,6,226.2
